Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.10,000 cells (Mid), unboxed.gridSeq",737867578,53817616,10586140,15365,97517568
"All.10,000 cells (Mid), unboxed.gridSeqInline",701379687,57725490,9386144,14127,97517568
"All.10,000 cells (Mid), unboxed.gridSeqStrict",695979687,55964590,9386133,14136,97517568
"All.10,000 cells (Mid), unboxed.gridPar",542859765,15214432,9410964,4216,97517568
"All.10,000 cells (Mid), unboxed.gridParSpark",490303124,27274786,11436412,5961,97517568
"All.10,000 cells (Mid), unboxed.stencilFoldGrid (library)",102993994,8042200,1500884,1444,97517568
"All.10,000 cells (Mid), unboxed.foldSeq",104608740,8835962,1500889,1437,97517568
"All.10,000 cells (Mid), unboxed.foldSeqInline",50077197,4208894,80020,80,97517568
"All.10,000 cells (Mid), unboxed.foldSeqStrict",58781054,3377138,80019,79,97517568
"All.10,000 cells (Mid), unboxed.foldPar",49364721,2533782,104793,87,97517568
"All.10,000 cells (Mid), unboxed.foldParSpark",56401428,1941546,169186,224,97517568
"All.40,000 cells (Wide), unboxed.stencilGrid (library)",2825665624,212265736,42611972,61453,97517568
"All.40,000 cells (Wide), unboxed.gridSeq",2827034374,211420222,42611957,61442,97517568
"All.40,000 cells (Wide), unboxed.gridSeqInline",2817789063,223606796,37811969,56665,97517568
"All.40,000 cells (Wide), unboxed.gridSeqStrict",2937034373,242061338,37811959,56656,97517568
"All.40,000 cells (Wide), unboxed.gridPar",2004994140,69222026,37836598,28425,102760448
"All.40,000 cells (Wide), unboxed.gridParSpark",1922855468,183706962,43119935,48051,102760448
"All.40,000 cells (Wide), unboxed.stencilFoldGrid (library)",450902343,33348856,6041699,13169,110100480
"All.40,000 cells (Wide), unboxed.foldSeq",437342382,38621086,6041718,13079,110100480
"All.40,000 cells (Wide), unboxed.foldSeqInline",198672656,8111642,320025,295,110100480
"All.40,000 cells (Wide), unboxed.foldSeqStrict",195532324,13574504,320031,295,110100480
"All.40,000 cells (Wide), unboxed.foldPar",116736328,7728518,344831,324,110100480
"All.40,000 cells (Wide), unboxed.foldParSpark",212985351,6959324,656099,860,110100480
"All.90,000 cells (Big), boxed.stencilGrid (library)",10903081248,430065744,91096107,15179453,121634816
"All.90,000 cells (Big), boxed.gridSeq",12261059374,1014504054,91096106,15181009,122683392
"All.90,000 cells (Big), boxed.gridSeqInline",11439037494,985770546,81016702,13340836,122683392
"All.90,000 cells (Big), boxed.gridSeqStrict",8046681249,470706276,75256104,3228165,122683392
"All.90,000 cells (Big), boxed.gridPar",7171346878,564788854,75280964,2844380,122683392
"All.90,000 cells (Big), boxed.gridParSpark",6762195312,365666994,84806559,7379224,122683392
"All.90,000 cells (Big), boxed.stencilFoldGrid (library)",6526018748,484940254,17943489,11558472,122683392
"All.90,000 cells (Big), boxed.foldSeq",6549503124,298123752,17943500,11533302,122683392
"All.90,000 cells (Big), boxed.foldSeqInline",3953437499,267559504,7921036,6212540,122683392
"All.90,000 cells (Big), boxed.foldSeqStrict",1637292969,122075342,2160866,250789,122683392
"All.90,000 cells (Big), boxed.foldPar",2485932811,226863066,2185799,756,122683392
"All.90,000 cells (Big), boxed.foldParSpark",1826720312,118934360,10515857,674562,122683392
"All.90,000 cells (Big), unboxed.stencilGrid (library)",7144137497,627468630,96077856,177691,122683392
"All.90,000 cells (Big), unboxed.gridSeq",6770650001,474898920,96077874,177752,122683392
"All.90,000 cells (Big), unboxed.gridSeqInline",6485468750,519047274,85277796,167399,122683392
"All.90,000 cells (Big), unboxed.gridSeqStrict",6510356249,420199088,85277873,167380,122683392
"All.90,000 cells (Big), unboxed.gridPar",4596751953,181357340,85302211,140334,122683392
"All.90,000 cells (Big), unboxed.gridParSpark",4620675001,431952434,88822855,128180,133169152
"All.90,000 cells (Big), unboxed.stencilFoldGrid (library)",1066767578,59286372,13622518,102808,133169152
"All.90,000 cells (Big), unboxed.foldSeq",1081813672,60908396,13622557,102948,133169152
"All.90,000 cells (Big), unboxed.foldSeqInline",478139648,41035340,720055,654,133169152
"All.90,000 cells (Big), unboxed.foldSeqStrict",440443945,26663362,720055,656,133169152
"All.90,000 cells (Big), unboxed.foldPar",253083642,21072100,744840,719,133169152
"All.90,000 cells (Big), unboxed.foldParSpark",412377734,39804192,1510655,1879,133169152
"All.90,000 cells (BigPeriodic), unboxed.stencilGrid (library)",6777599999,447758622,96480623,177382,133169152
"All.90,000 cells (BigPeriodic), unboxed.gridSeq",6862496870,587624688,96480636,177238,133169152
"All.90,000 cells (BigPeriodic), unboxed.gridSeqInline",6736068747,447996226,85680627,167240,133169152
"All.90,000 cells (BigPeriodic), unboxed.gridSeqStrict",6745140623,561253062,85680610,167062,133169152
"All.90,000 cells (BigPeriodic), unboxed.gridPar",4432657031,191351514,85705029,138823,133169152
"All.90,000 cells (BigPeriodic), unboxed.gridParSpark",4628053124,433084442,89137751,130171,138412032
"All.90,000 cells (BigPeriodic), unboxed.stencilFoldGrid (library)",1063959179,64572576,13680054,104273,138412032
"All.90,000 cells (BigPeriodic), unboxed.foldSeq",1078271484,61745172,13680088,104401,138412032
"All.90,000 cells (BigPeriodic), unboxed.foldSeqInline",485273242,34700978,720055,639,138412032
"All.90,000 cells (BigPeriodic), unboxed.foldSeqStrict",531104296,52641930,720094,640,138412032
"All.90,000 cells (BigPeriodic), unboxed.foldPar",231258923,7489298,744829,702,138412032
"All.90,000 cells (BigPeriodic), unboxed.foldParSpark",416721044,24094724,1510795,1846,138412032
"All.chunks per capability, 90,000 unboxed.gridPar mult=1",4376586719,120111784,85290031,126476,138412032
"All.chunks per capability, 90,000 unboxed.gridPar mult=2",4337262499,423692958,85302634,135642,138412032
"All.chunks per capability, 90,000 unboxed.gridPar mult=8",4417521875,243011680,85375638,169347,138412032
"All.chunks per capability, 90,000 unboxed.foldPar mult=1",232650292,15474724,732688,695,138412032
"All.chunks per capability, 90,000 unboxed.foldPar mult=2",219129199,15318812,744839,694,138412032
"All.chunks per capability, 90,000 unboxed.foldPar mult=8",234123144,13491524,818074,693,138412032
"All.x100, 02,500 cells (Step), boxed.stencilGrid (library)",39649212486,3313796844,248285579,47701778,169869312
"All.x100, 02,500 cells (Step), boxed.gridSeqInline",37049199999,2176420846,220285576,42254646,169869312
"All.x100, 02,500 cells (Step), boxed.gridSeqStrict",19029156249,1600186114,204284436,3075854,169869312
"All.x100, 02,500 cells (Step), boxed.gridPar",18250662500,1249319128,206768171,463856,169869312
"All.x100, 02,500 cells (Step), boxed.stencilFoldGrid (library)",18302787499,747489590,22005393,35073081,169869312
"All.x100, 02,500 cells (Step), boxed.foldSeqInline",18249237510,1714057886,22007177,35049619,169869312
"All.x100, 02,500 cells (Step), boxed.foldSeqStrict",3972260939,221133140,6005108,59177,169869312
"All.x100, 02,500 cells (Step), boxed.foldPar",8723092187,427948466,8481710,21604,169869312
"All.x100, 02,500 cells (Step), unboxed.stencilGrid (library)",18303512499,1482065884,261327521,269367,169869312
"All.x100, 02,500 cells (Step), unboxed.gridSeqInline",17569224998,1756654944,231328736,206721,169869312
"All.x100, 02,500 cells (Step), unboxed.gridSeqStrict",17191662495,1014532018,231327585,205756,169869312
"All.x100, 02,500 cells (Step), unboxed.gridPar",15617704687,385777634,233810109,96700,169869312
"All.x100, 02,500 cells (Step), unboxed.stencilFoldGrid (library)",2656370117,135120522,37048038,30350,169869312
"All.x100, 02,500 cells (Step), unboxed.foldSeqInline",1258141015,68954746,2001672,1730,169869312
"All.x100, 02,500 cells (Step), unboxed.foldSeqStrict",1264887500,105573854,2001724,1730,169869312
"All.x100, 02,500 cells (Step), unboxed.foldPar",3824038671,291340440,4477104,2646,169869312
"All.x10, 90,000 cells (Big), unboxed.stencilGrid (library)",69467999974,6925102612,960782275,1567416,169869312
"All.x10, 90,000 cells (Big), unboxed.gridSeqInline",67643675020,3430016480,852777410,1619975,169869312
"All.x10, 90,000 cells (Big), unboxed.gridSeqStrict",67269199974,3536229608,852776570,1619768,169869312
"All.x10, 90,000 cells (Big), unboxed.gridPar",45087006246,1668442142,853022385,1414051,169869312
"All.x10, 90,000 cells (Big), unboxed.stencilFoldGrid (library)",10946218750,385721728,136225109,1076518,169869312
"All.x10, 90,000 cells (Big), unboxed.foldSeqInline",4627500001,431002116,7200754,5976,169869312
"All.x10, 90,000 cells (Big), unboxed.foldSeqStrict",4580742187,303581164,7200468,5938,169869312
"All.x10, 90,000 cells (Big), unboxed.foldPar",2266627539,59032194,7448281,6587,169869312
