Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), boxed.stencilGrid (library)",529163,51448,8576,7,61865984
"All.00,012 cells (Tiny), boxed.gridSeq",536030,52336,8576,7,61865984
"All.00,012 cells (Tiny), boxed.gridSeqInline",475043,26020,7232,6,61865984
"All.00,012 cells (Tiny), boxed.gridSeqStrict",475197,30004,6464,5,61865984
"All.00,012 cells (Tiny), boxed.gridPar",5199310,415030,12880,16,61865984
"All.00,012 cells (Tiny), boxed.gridParSpark",689392,59278,9173,8,61865984
"All.00,012 cells (Tiny), boxed.stencilFoldGrid (library)",173729,8298,1824,1,61865984
"All.00,012 cells (Tiny), boxed.foldSeq",172914,13260,1824,1,61865984
"All.00,012 cells (Tiny), boxed.foldSeqInline",155518,12918,1088,0,61865984
"All.00,012 cells (Tiny), boxed.foldSeqStrict",129084,8210,320,0,61865984
"All.00,012 cells (Tiny), boxed.foldPar",5704418,412138,6736,6,61865984
"All.00,012 cells (Tiny), boxed.foldParSpark",358847,27002,3017,2,61865984
"All.00,400 cells (Small20), boxed.stencilGrid (library)",22482080,1698014,383777,1793,61865984
"All.00,400 cells (Small20), boxed.gridSeq",22868371,1639164,383777,1792,61865984
"All.00,400 cells (Small20), boxed.gridSeqInline",21124633,1745016,338977,1771,61865984
"All.00,400 cells (Small20), boxed.gridSeqStrict",22028198,1829360,313377,698,61865984
"All.00,400 cells (Small20), boxed.gridPar",23304602,1655978,319845,486,61865984
"All.00,400 cells (Small20), boxed.gridParSpark",22419409,1992262,380851,981,61865984
"All.00,400 cells (Small20), boxed.stencilFoldGrid (library)",7744378,539922,76256,366,61865984
"All.00,400 cells (Small20), boxed.foldSeq",7769964,460942,76256,366,61865984
"All.00,400 cells (Small20), boxed.foldSeqInline",7008892,424476,35232,157,61865984
"All.00,400 cells (Small20), boxed.foldSeqStrict",5826766,412710,9632,14,61865984
"All.00,400 cells (Small20), boxed.foldPar",10819696,869014,16060,30,61865984
"All.00,400 cells (Small20), boxed.foldParSpark",8007308,421718,43638,115,61865984
"All.01,024 cells (Small32), boxed.stencilGrid (library)",59809741,3524864,1003939,11334,61865984
"All.01,024 cells (Small32), boxed.gridSeq",60649975,3320910,1003939,11332,61865984
"All.01,024 cells (Small32), boxed.gridSeqInline",55327856,3656756,889251,9120,61865984
"All.01,024 cells (Small32), boxed.gridSeqStrict",56333447,3734712,823715,2137,61865984
"All.01,024 cells (Small32), boxed.gridPar",47741503,3431184,830179,1386,61865984
"All.01,024 cells (Small32), boxed.gridParSpark",58229101,3840838,1025087,5511,61865984
"All.01,024 cells (Small32), boxed.stencilFoldGrid (library)",19719641,1799826,198753,141,61865984
"All.01,024 cells (Small32), boxed.foldSeq",19684374,1774386,198753,141,61865984
"All.01,024 cells (Small32), boxed.foldSeqInline",17715734,1663620,90145,758,61865984
