Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), boxed.stencilGrid (library)",601153,37970,8576,8,72351744
"All.00,012 cells (Tiny), boxed.gridSeq",589966,55986,8576,8,72351744
"All.00,012 cells (Tiny), boxed.gridSeqInline",530278,51558,7232,7,72351744
"All.00,012 cells (Tiny), boxed.gridSeqStrict",527070,27220,6464,6,72351744
"All.00,012 cells (Tiny), boxed.gridPar",10509686,568610,19003,20,72351744
"All.00,012 cells (Tiny), boxed.gridParSpark",906378,52470,10651,11,72351744
"All.00,012 cells (Tiny), boxed.stencilFoldGrid (library)",194713,12942,1824,1,72351744
"All.00,012 cells (Tiny), boxed.foldSeq",195028,13636,1824,1,72351744
"All.00,012 cells (Tiny), boxed.foldSeqInline",172594,7438,1088,0,72351744
"All.00,012 cells (Tiny), boxed.foldSeqStrict",139789,12926,320,0,72351744
"All.00,012 cells (Tiny), boxed.foldPar",9515997,321590,12866,11,72351744
"All.00,012 cells (Tiny), boxed.foldParSpark",545373,51150,4492,4,72351744
"All.00,400 cells (Small20), boxed.stencilGrid (library)",25891577,1871342,383778,1841,72351744
"All.00,400 cells (Small20), boxed.gridSeq",25930554,1639272,383778,1841,72351744
"All.00,400 cells (Small20), boxed.gridSeqInline",23909191,1688896,338977,1813,72351744
"All.00,400 cells (Small20), boxed.gridSeqStrict",24237670,1723180,313378,737,72351744
"All.00,400 cells (Small20), boxed.gridPar",30443310,924942,325974,407,72351744
"All.00,400 cells (Small20), boxed.gridParSpark",25521972,1628736,358210,920,72351744
"All.00,400 cells (Small20), boxed.stencilFoldGrid (library)",8583636,541302,76256,375,72351744
"All.00,400 cells (Small20), boxed.foldSeq",8528741,835194,76256,375,72351744
"All.00,400 cells (Small20), boxed.foldSeqInline",7550372,419562,35232,161,72351744
"All.00,400 cells (Small20), boxed.foldSeqStrict",6212399,428106,9632,15,72351744
"All.00,400 cells (Small20), boxed.foldPar",16634167,603004,22175,28,72351744
"All.00,400 cells (Small20), boxed.foldParSpark",8989698,308148,45045,71,72351744
"All.01,024 cells (Small32), boxed.stencilGrid (library)",69054980,4671504,1003940,11457,72351744
"All.01,024 cells (Small32), boxed.gridSeq",67768139,3366002,1003940,11456,72351744
"All.01,024 cells (Small32), boxed.gridSeqInline",63285815,4964114,889252,9229,72351744
"All.01,024 cells (Small32), boxed.gridSeqStrict",68406933,3544188,823714,2234,72351744
"All.01,024 cells (Small32), boxed.gridPar",64167163,2100244,836302,818,72351744
"All.01,024 cells (Small32), boxed.gridParSpark",64210107,2302888,969165,2846,72351744
"All.01,024 cells (Small32), boxed.stencilFoldGrid (library)",21316210,1301214,198753,164,72351744
"All.01,024 cells (Small32), boxed.foldSeq",21412170,1889410,198753,164,72351744
"All.01,024 cells (Small32), boxed.foldSeqInline",19406616,1652756,90146,768,72351744
"All.01,024 cells (Small32), boxed.foldSeqStrict",16120281,959964,24609,72,72351744
"All.01,024 cells (Small32), boxed.foldPar",31584326,1257324,37147,44,72351744
"All.01,024 cells (Small32), boxed.foldParSpark",21569873,1024586,110466,528,72351744
"All.02,500 cells (Step), boxed.stencilGrid (library)",178436962,7703296,2482841,66192,72351744
"All.02,500 cells (Step), boxed.gridSeq",176870117,17176670,2482848,66200,72351744
"All.02,500 cells (Step), boxed.gridSeqInline",161587597,13352644,2202850,53283,72351744
"All.02,500 cells (Step), boxed.gridSeqStrict",158341406,14688170,2042849,11289,72351744
"All.02,500 cells (Step), boxed.gridPar",142666479,4181926,2055442,3803,72351744
"All.02,500 cells (Step), boxed.gridParSpark",157920483,6515386,2427535,26880,72351744
"All.02,500 cells (Step), boxed.stencilFoldGrid (library)",55446679,1704128,490514,10843,72351744
"All.02,500 cells (Step), boxed.foldSeq",56226831,3620726,490516,10848,72351744
"All.02,500 cells (Step), boxed.foldSeqInline",46477490,3351262,220052,4176,72351744
"All.02,500 cells (Step), boxed.foldSeqStrict",40172265,3407820,60052,217,72351744
"All.02,500 cells (Step), boxed.foldPar",69711120,1803156,72632,143,72351744
"All.02,500 cells (Step), boxed.foldParSpark",56642309,3781334,266433,2714,72351744
"All.02,500 cells (Step), unboxed.stencilGrid (library)",156393359,13472746,2613281,2215,72351744
"All.02,500 cells (Step), unboxed.gridSeq",157538964,14345336,2613281,2210,72351744
"All.02,500 cells (Step), unboxed.gridSeqInline",150943066,14531820,2313280,1956,72351744
"All.02,500 cells (Step), unboxed.gridSeqStrict",150485205,11267468,2313273,1951,72351744
"All.02,500 cells (Step), unboxed.gridPar",97130859,4025576,2325864,1395,72351744
"All.02,500 cells (Step), unboxed.gridParSpark",144076342,4099384,2528309,8311,72351744
"All.02,500 cells (Step), unboxed.stencilFoldGrid (library)",22367187,1105886,370481,286,72351744
"All.02,500 cells (Step), unboxed.foldSeq",22524523,1691080,370482,285,72351744
"All.02,500 cells (Step), unboxed.foldSeqInline",12344946,1059402,20017,16,72351744
"All.02,500 cells (Step), unboxed.foldSeqStrict",12161114,836040,20017,16,72351744
"All.02,500 cells (Step), unboxed.foldPar",17054406,1308748,32569,18,72351744
"All.02,500 cells (Step), unboxed.foldParSpark",13852362,500044,43205,135,72351744
"All.10,000 cells (Mid), boxed.stencilGrid (library)",873121093,78646702,10045364,1060646,72351744
"All.10,000 cells (Mid), boxed.gridSeq",865904296,54591502,10045364,1060795,72351744
"All.10,000 cells (Mid), boxed.gridSeqInline",839712109,79252012,8925325,897649,72351744
"All.10,000 cells (Mid), boxed.gridSeqStrict",747932031,70203798,8285364,291959,72351744
"All.10,000 cells (Mid), boxed.gridPar",547880761,27613692,8297911,47056,72351744
"All.10,000 cells (Mid), boxed.gridParSpark",575411914,42426770,11821750,125450,72351744
"All.10,000 cells (Mid), boxed.stencilFoldGrid (library)",240500244,14282228,1980977,170216,72351744
"All.10,000 cells (Mid), boxed.foldSeq",250501367,21503374,1980984,170226,72351744
"All.10,000 cells (Mid), boxed.foldSeqInline",197230468,14005996,880119,64531,72351744
"All.10,000 cells (Mid), boxed.foldSeqStrict",160590331,13346530,240122,3127,72351744
"All.10,000 cells (Mid), boxed.foldPar",277489404,18413932,252706,70,72351744
"All.10,000 cells (Mid), boxed.foldParSpark",228159863,17322538,1092423,20721,72351744
"All.10,000 cells (Mid), unboxed.stencilGrid (library)",642533984,32337384,10586102,13016,72351744
"All.10,000 cells (Mid), unboxed.gridSeq",642081250,53510154,10586140,12608,72351744
"All.10,000 cells (Mid), unboxed.gridSeqInline",616266405,53567802,9386131,11670,72351744
"All.10,000 cells (Mid), unboxed.gridSeqStrict",613757031,55568036,9386140,11670,72351744
"All.10,000 cells (Mid), unboxed.gridPar",347638085,28194108,9398686,5599,72351744
"All.10,000 cells (Mid), unboxed.gridParSpark",488835644,35390142,13122670,4888,72351744
"All.10,000 cells (Mid), unboxed.stencilFoldGrid (library)",89804760,6913576,1500884,1092,72351744
"All.10,000 cells (Mid), unboxed.foldSeq",89493701,6587666,1500889,1090,72351744
"All.10,000 cells (Mid), unboxed.foldSeqInline",48547680,3346022,80020,60,72351744
"All.10,000 cells (Mid), unboxed.foldSeqStrict",57546069,3283568,80019,60,72351744
"All.10,000 cells (Mid), unboxed.foldPar",32784121,705962,92576,68,72351744
"All.10,000 cells (Mid), unboxed.foldParSpark",53569934,1958632,164644,142,72351744
"All.40,000 cells (Wide), unboxed.stencilGrid (library)",2407492186,217737114,42611927,50331,74448896
"All.40,000 cells (Wide), unboxed.gridSeq",2413017187,213740146,42611950,50321,74448896
"All.40,000 cells (Wide), unboxed.gridSeqInline",2465676561,75014838,37811741,47630,74448896
"All.40,000 cells (Wide), unboxed.gridSeqStrict",2440070311,225388664,37811971,46774,74448896
"All.40,000 cells (Wide), unboxed.gridPar",1443498632,33266752,37824291,41753,74448896
"All.40,000 cells (Wide), unboxed.gridParSpark",1783485938,138255384,43674738,41794,74448896
"All.40,000 cells (Wide), unboxed.stencilFoldGrid (library)",369498242,31677920,6041699,11504,89128960
"All.40,000 cells (Wide), unboxed.foldSeq",367241015,26856398,6041714,11410,89128960
"All.40,000 cells (Wide), unboxed.foldSeqInline",193840234,13208086,320032,222,89128960
"All.40,000 cells (Wide), unboxed.foldSeqStrict",191077343,13181008,320031,221,89128960
"All.40,000 cells (Wide), unboxed.foldPar",101068942,2550336,332574,249,89128960
"All.40,000 cells (Wide), unboxed.foldParSpark",205503857,9001702,656551,581,89128960
"All.90,000 cells (Big), boxed.stencilGrid (library)",9453731251,922266244,91096731,14976310,94371840
"All.90,000 cells (Big), boxed.gridSeq",9394343756,869271418,91096702,14975357,94371840
"All.90,000 cells (Big), boxed.gridSeqInline",9717362500,615764194,81015810,13387431,98566144
"All.90,000 cells (Big), boxed.gridSeqStrict",7500006251,486009382,75256072,3197656,98566144
"All.90,000 cells (Big), boxed.gridPar",6180087499,484898334,75268356,3067550,98566144
"All.90,000 cells (Big), boxed.gridParSpark",5375926562,395148144,82506475,9495273,98566144
"All.90,000 cells (Big), boxed.stencilFoldGrid (library)",5659848439,552420586,17943497,11559820,98566144
"All.90,000 cells (Big), boxed.foldSeq",5666456249,423343566,17943827,11539341,98566144
"All.90,000 cells (Big), boxed.foldSeqInline",3557893750,277384228,7921000,6214001,98566144
"All.90,000 cells (Big), boxed.foldSeqStrict",1613458594,118577980,2160854,250715,98566144
"All.90,000 cells (Big), boxed.foldPar",2147537109,184143694,2173394,569,98566144
"All.90,000 cells (Big), boxed.foldParSpark",1760879687,110936924,11492946,665688,98566144
"All.90,000 cells (Big), unboxed.stencilGrid (library)",5969203125,406964374,96077570,152709,98566144
"All.90,000 cells (Big), unboxed.gridSeq",6001021873,455123680,96077876,152684,98566144
"All.90,000 cells (Big), unboxed.gridSeqInline",5670565623,447814542,85277875,145151,98566144
"All.90,000 cells (Big), unboxed.gridSeqStrict",5594037497,525042728,85277801,145171,98566144
"All.90,000 cells (Big), unboxed.gridPar",3250408983,265574998,85289915,128061,98566144
"All.90,000 cells (Big), unboxed.gridParSpark",3360892187,260131564,86007155,113235,101711872
"All.90,000 cells (Big), unboxed.stencilFoldGrid (library)",894783789,58675818,13622518,98149,101711872
"All.90,000 cells (Big), unboxed.foldSeq",927585937,54652646,13622519,98285,101711872
"All.90,000 cells (Big), unboxed.foldSeqInline",465999023,30859484,720055,483,101711872
"All.90,000 cells (Big), unboxed.foldSeqStrict",459904687,26693934,720049,483,101711872
"All.90,000 cells (Big), unboxed.foldPar",244248681,11206762,732574,549,101711872
"All.90,000 cells (Big), unboxed.foldParSpark",413719628,23484390,1528176,1237,101711872
"All.90,000 cells (BigPeriodic), unboxed.stencilGrid (library)",5751865625,486079268,96480589,152187,101711872
"All.90,000 cells (BigPeriodic), unboxed.gridSeq",5786184374,428458586,96480552,152107,101711872
"All.90,000 cells (BigPeriodic), unboxed.gridSeqInline",5565671875,443859500,85680591,144741,101711872
"All.90,000 cells (BigPeriodic), unboxed.gridSeqStrict",5527090622,497008024,85680625,144745,101711872
"All.90,000 cells (BigPeriodic), unboxed.gridPar",3279035156,300227066,85692738,126323,101711872
"All.90,000 cells (BigPeriodic), unboxed.gridParSpark",3380593749,243941048,86419653,114162,103809024
"All.90,000 cells (BigPeriodic), unboxed.stencilFoldGrid (library)",955451952,85999524,13680094,99597,103809024
"All.90,000 cells (BigPeriodic), unboxed.foldSeq",925244140,69772308,13680094,99718,103809024
"All.90,000 cells (BigPeriodic), unboxed.foldSeqInline",464650781,30404410,720054,468,103809024
"All.90,000 cells (BigPeriodic), unboxed.foldSeqStrict",497555273,26591738,720050,466,103809024
"All.90,000 cells (BigPeriodic), unboxed.foldPar",214828124,11711514,732577,532,103809024
"All.90,000 cells (BigPeriodic), unboxed.foldParSpark",413148046,29938852,1533291,1206,103809024
"All.chunks per capability, 90,000 unboxed.gridPar mult=1",3183016406,295464936,85283813,117163,103809024
"All.chunks per capability, 90,000 unboxed.gridPar mult=2",3118587499,243605634,85290116,122368,103809024
"All.chunks per capability, 90,000 unboxed.gridPar mult=8",3150253125,182753136,85326520,155769,103809024
"All.chunks per capability, 90,000 unboxed.foldPar mult=1",221706396,11857056,726501,524,103809024
"All.chunks per capability, 90,000 unboxed.foldPar mult=2",219799902,13849644,732588,523,103809024
"All.chunks per capability, 90,000 unboxed.foldPar mult=8",226272558,14341406,769118,522,103809024
"All.x100, 02,500 cells (Step), boxed.stencilGrid (library)",34632418742,1339656288,248284390,47423550,143654912
"All.x100, 02,500 cells (Step), boxed.gridSeqInline",32771037491,3100084672,220285156,42778088,143654912
"All.x100, 02,500 cells (Step), boxed.gridSeqStrict",16197775004,1257844148,204284366,3026094,143654912
"All.x100, 02,500 cells (Step), boxed.gridPar",13679703123,1205310504,205544049,861561,143654912
"All.x100, 02,500 cells (Step), boxed.stencilFoldGrid (library)",17394237497,1502246364,22005992,35018340,143654912
"All.x100, 02,500 cells (Step), boxed.foldSeqInline",17451999999,1026494946,22005986,34916710,143654912
"All.x100, 02,500 cells (Step), boxed.foldSeqStrict",3570551560,217604356,6005069,58196,143654912
"All.x100, 02,500 cells (Step), boxed.foldPar",6362046874,524724796,7263597,28358,143654912
"All.x100, 02,500 cells (Step), unboxed.stencilGrid (library)",15104868750,816388404,261326993,231035,143654912
"All.x100, 02,500 cells (Step), unboxed.gridSeqInline",15446159377,839475824,231326960,167772,143654912
"All.x100, 02,500 cells (Step), unboxed.gridSeqStrict",15141325007,995721070,231327378,149610,143654912
"All.x100, 02,500 cells (Step), unboxed.gridPar",9204531249,762464240,232585708,122111,143654912
"All.x100, 02,500 cells (Step), unboxed.stencilFoldGrid (library)",2213398828,64056360,37048080,21850,143654912
"All.x100, 02,500 cells (Step), unboxed.foldSeqInline",1225078906,105472532,2001731,1245,143654912
"All.x100, 02,500 cells (Step), unboxed.foldSeqStrict",1233418751,106206240,2001731,1241,143654912
"All.x100, 02,500 cells (Step), unboxed.foldPar",1630475390,80517662,3256941,1956,143654912
"All.x10, 90,000 cells (Big), unboxed.stencilGrid (library)",56493062515,3081581192,960775081,1498408,143654912
"All.x10, 90,000 cells (Big), unboxed.gridSeqInline",54965175001,4281064038,852776962,1397862,143654912
"All.x10, 90,000 cells (Big), unboxed.gridSeqStrict",55115224998,3486253598,852777506,1397432,143654912
"All.x10, 90,000 cells (Big), unboxed.gridPar",33035399999,2397567968,852899611,1284041,143654912
"All.x10, 90,000 cells (Big), unboxed.stencilFoldGrid (library)",9105560937,218352034,136225097,1029947,143654912
"All.x10, 90,000 cells (Big), unboxed.foldSeqInline",4369134372,422281444,7200721,4264,143654912
"All.x10, 90,000 cells (Big), unboxed.foldSeqStrict",4376281246,420590412,7200692,4250,143654912
"All.x10, 90,000 cells (Big), unboxed.foldPar",2314140234,66266226,7325794,4884,143654912
