Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), boxed.stencilGrid (library)",499875,26552,8576,7,52428800
"All.00,012 cells (Tiny), boxed.gridSeq",494246,27918,8576,7,52428800
"All.00,012 cells (Tiny), boxed.gridSeqInline",440596,26208,7232,6,52428800
"All.00,012 cells (Tiny), boxed.gridSeqStrict",442790,41408,6464,4,52428800
"All.00,012 cells (Tiny), boxed.gridPar",752723,63922,9801,7,52428800
"All.00,012 cells (Tiny), boxed.gridParSpark",564939,54054,8424,6,52428800
"All.00,012 cells (Tiny), boxed.stencilFoldGrid (library)",167524,12814,1824,1,52428800
"All.00,012 cells (Tiny), boxed.foldSeq",167585,13142,1824,1,52428800
"All.00,012 cells (Tiny), boxed.foldSeqInline",153643,14710,1088,0,52428800
"All.00,012 cells (Tiny), boxed.foldSeqStrict",128126,7762,320,0,52428800
"All.00,012 cells (Tiny), boxed.foldPar",398784,35056,3656,4,52428800
"All.00,012 cells (Tiny), boxed.foldParSpark",287034,15064,2280,1,52428800
"All.00,400 cells (Small20), boxed.stencilGrid (library)",21241687,1641674,383777,1799,52428800
"All.00,400 cells (Small20), boxed.gridSeq",21466723,1771384,383777,1798,52428800
"All.00,400 cells (Small20), boxed.gridSeqInline",19699151,1062704,338976,1749,52428800
"All.00,400 cells (Small20), boxed.gridSeqStrict",20300061,830308,313376,657,52428800
"All.00,400 cells (Small20), boxed.gridPar",20386993,1036418,316712,594,52428800
"All.00,400 cells (Small20), boxed.gridParSpark",20721569,1780392,346377,1258,52428800
"All.00,400 cells (Small20), boxed.stencilFoldGrid (library)",7561016,496550,76256,361,52428800
"All.00,400 cells (Small20), boxed.foldSeq",7534628,470428,76256,361,52428800
"All.00,400 cells (Small20), boxed.foldSeqInline",6920169,569976,35232,155,52428800
"All.00,400 cells (Small20), boxed.foldSeqStrict",5814230,521062,9632,13,52428800
"All.00,400 cells (Small20), boxed.foldPar",5694857,552848,12973,34,52428800
"All.00,400 cells (Small20), boxed.foldParSpark",7808285,430208,42632,115,52428800
"All.01,024 cells (Small32), boxed.stencilGrid (library)",56613061,3337942,1003939,11273,52428800
"All.01,024 cells (Small32), boxed.gridSeq",56878637,4049816,1003939,11271,52428800
"All.01,024 cells (Small32), boxed.gridSeqInline",53241076,3829210,889248,9061,52428800
"All.01,024 cells (Small32), boxed.gridSeqStrict",53775610,3751308,823715,2084,52428800
"All.01,024 cells (Small32), boxed.gridPar",58568505,5148196,827056,2443,52428800
"All.01,024 cells (Small32), boxed.gridParSpark",55708618,2836574,906633,6175,52428800
"All.01,024 cells (Small32), boxed.stencilFoldGrid (library)",19246832,845976,198752,139,52428800
"All.01,024 cells (Small32), boxed.foldSeq",19160949,978278,198752,138,52428800
"All.01,024 cells (Small32), boxed.foldSeqInline",17644885,937772,90144,740,52428800
"All.01,024 cells (Small32), boxed.foldSeqStrict",14976000,926444,24608,57,52428800
"All.01,024 cells (Small32), boxed.foldPar",14112927,878404,27947,14,52428800
"All.01,024 cells (Small32), boxed.foldParSpark",20171136,1009042,107528,325,52428800
"All.02,500 cells (Step), boxed.stencilGrid (library)",148898974,6649900,2482839,65781,52428800
"All.02,500 cells (Step), boxed.gridSeq",150552734,14086790,2482849,66939,52428800
"All.02,500 cells (Step), boxed.gridSeqInline",136622900,7556336,2202839,52888,52428800
"All.02,500 cells (Step), boxed.gridSeqStrict",135275439,9549582,2042839,10912,52428800
"All.02,500 cells (Step), boxed.gridPar",133118554,8240914,2046174,11786,52428800
"All.02,500 cells (Step), boxed.gridParSpark",138393505,6921764,2243855,35333,52428800
"All.02,500 cells (Step), boxed.stencilFoldGrid (library)",51009350,4181054,490515,10763,52428800
"All.02,500 cells (Step), boxed.foldSeq",51080322,4483600,490515,10761,52428800
"All.02,500 cells (Step), boxed.foldSeqInline",42736328,3894010,220051,4167,52428800
"All.02,500 cells (Step), boxed.foldSeqStrict",37205493,3437190,60051,210,52428800
"All.02,500 cells (Step), boxed.foldPar",34492895,3408364,63385,174,52428800
"All.02,500 cells (Step), boxed.foldParSpark",49162670,4434030,261067,3229,52428800
"All.02,500 cells (Step), unboxed.stencilGrid (library)",128732666,9148444,2613271,1733,52428800
"All.02,500 cells (Step), unboxed.gridSeq",130049902,7843924,2613271,1728,52428800
"All.02,500 cells (Step), unboxed.gridSeqInline",124793212,8054430,2313271,1532,52428800
"All.02,500 cells (Step), unboxed.gridSeqStrict",123328955,10381992,2313271,1527,52428800
"All.02,500 cells (Step), unboxed.gridPar",122055517,6625006,2316607,2438,52428800
"All.02,500 cells (Step), unboxed.gridParSpark",126065966,11237770,2334239,1589,52428800
"All.02,500 cells (Step), unboxed.stencilFoldGrid (library)",20093908,938372,370480,222,52428800
"All.02,500 cells (Step), unboxed.foldSeq",20177001,2014972,370481,221,52428800
"All.02,500 cells (Step), unboxed.foldSeqInline",12339483,884326,20017,15,52428800
"All.02,500 cells (Step), unboxed.foldSeqStrict",12180389,467916,20016,12,52428800
"All.02,500 cells (Step), unboxed.foldPar",13927618,847450,23351,14,52428800
"All.02,500 cells (Step), unboxed.foldParSpark",13456768,853782,40984,26,52428800
"All.10,000 cells (Mid), boxed.stencilGrid (library)",811769531,70357528,10045351,1057825,52428800
"All.10,000 cells (Mid), boxed.gridSeq",817591406,79628476,10045351,1057971,52428800
"All.10,000 cells (Mid), boxed.gridSeqInline",735295702,67782556,8925351,894249,52428800
"All.10,000 cells (Mid), boxed.gridSeqStrict",646225390,58965810,8285351,289829,52428800
"All.10,000 cells (Mid), boxed.gridPar",643035156,53237632,8288705,295955,52428800
"All.10,000 cells (Mid), boxed.gridParSpark",696157812,55059678,9086415,631494,52428800
"All.10,000 cells (Mid), boxed.stencilFoldGrid (library)",228162695,13107200,1980983,170320,52428800
"All.10,000 cells (Mid), boxed.foldSeq",228220019,14442290,1980983,170341,52428800
"All.10,000 cells (Mid), boxed.foldSeqInline",183627246,15471668,880119,64490,52428800
"All.10,000 cells (Mid), boxed.foldSeqStrict",150371874,13149564,240119,2926,52428800
"All.10,000 cells (Mid), boxed.foldPar",138332812,6898836,243445,2229,52428800
"All.10,000 cells (Mid), boxed.foldParSpark",205405078,15572116,1041183,49853,52428800
"All.10,000 cells (Mid), unboxed.stencilGrid (library)",529099609,42563902,10586095,10921,52428800
"All.10,000 cells (Mid), unboxed.gridSeq",532063476,45634130,10586095,10920,52428800
"All.10,000 cells (Mid), unboxed.gridSeqInline",514521484,41227502,9386095,10220,52428800
"All.10,000 cells (Mid), unboxed.gridSeqStrict",506692383,30077734,9386095,10221,52428800
"All.10,000 cells (Mid), unboxed.gridPar",502555859,36439172,9389439,14412,52428800
"All.10,000 cells (Mid), unboxed.gridParSpark",513444726,49639834,9467063,10535,52428800
"All.10,000 cells (Mid), unboxed.stencilFoldGrid (library)",82078393,5999824,1500883,832,52428800
"All.10,000 cells (Mid), unboxed.foldSeq",81411474,6210656,1500883,829,52428800
"All.10,000 cells (Mid), unboxed.foldSeqInline",48564453,2825928,80017,46,52428800
"All.10,000 cells (Mid), unboxed.foldSeqStrict",57018139,3377684,80019,46,52428800
"All.10,000 cells (Mid), unboxed.foldPar",49406030,4638966,83354,53,52428800
"All.10,000 cells (Mid), unboxed.foldParSpark",52965185,4380094,160987,96,52428800
"All.40,000 cells (Wide), unboxed.stencilGrid (library)",2113382813,168333988,42611789,41935,58720256
"All.40,000 cells (Wide), unboxed.gridSeq",2171162500,169210950,42611788,41922,58720256
"All.40,000 cells (Wide), unboxed.gridSeqInline",2065710937,164770254,37811789,39283,58720256
"All.40,000 cells (Wide), unboxed.gridSeqStrict",2063280468,170926432,37811788,39280,58720256
"All.40,000 cells (Wide), unboxed.gridPar",2039184375,189758320,37815153,46307,58720256
"All.40,000 cells (Wide), unboxed.gridParSpark",2074543749,158491800,38132757,39684,58720256
"All.40,000 cells (Wide), unboxed.stencilFoldGrid (library)",334137793,15496562,6041695,9907,72351744
"All.40,000 cells (Wide), unboxed.foldSeq",335595898,27722002,6041695,9922,72351744
"All.40,000 cells (Wide), unboxed.foldSeqInline",196287402,13575378,320031,168,72351744
"All.40,000 cells (Wide), unboxed.foldSeqStrict",194003417,11343022,320023,167,72351744
"All.40,000 cells (Wide), unboxed.foldPar",195445898,17494610,323366,196,72351744
"All.40,000 cells (Wide), unboxed.foldParSpark",208893261,17578026,640999,355,72351744
"All.90,000 cells (Big), boxed.stencilGrid (library)",8600724998,442797364,91096000,13765750,78643200
"All.90,000 cells (Big), boxed.gridSeq",8633218750,491585570,91096008,13775149,78643200
"All.90,000 cells (Big), boxed.gridSeqInline",7898249995,674663646,81016008,12759469,78643200
"All.90,000 cells (Big), boxed.gridSeqStrict",6414264061,324453466,75255760,3139715,78643200
"All.90,000 cells (Big), boxed.gridPar",6333487497,475821290,75259461,3143702,78643200
"All.90,000 cells (Big), boxed.gridParSpark",7952581251,533553768,82457696,13041531,78643200
"All.90,000 cells (Big), boxed.stencilFoldGrid (library)",4740128127,462614522,17943688,11389661,78643200
"All.90,000 cells (Big), boxed.foldSeq",4740506252,464626976,17943688,11390379,78643200
"All.90,000 cells (Big), boxed.foldSeqInline",3157648436,265393316,7920978,6199360,78643200
"All.90,000 cells (Big), boxed.foldSeqStrict",1470134374,115031724,2160852,248581,78643200
"All.90,000 cells (Big), boxed.foldPar",1365106250,74717860,2164128,249100,78643200
"All.90,000 cells (Big), boxed.foldParSpark",3006939061,245527254,9362666,4782157,78643200
"All.90,000 cells (Big), unboxed.stencilGrid (library)",4920231251,465758978,96077759,133850,78643200
"All.90,000 cells (Big), unboxed.gridSeq",4951998436,402121882,96077514,133789,78643200
