Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), moore 1.stencilFor (library)",7396652,439188,64616,50,329252864
"All.00,012 cells (Tiny), moore 1.tableSeq",7425268,433784,64824,51,329252864
"All.00,012 cells (Tiny), moore 1.tableSeqBounded",3701011,205672,30536,24,329252864
"All.00,012 cells (Tiny), moore 1.tableParWidth",12204125,953836,58521,53,329252864
"All.00,012 cells (Tiny), moore 1.tableParFill",14744189,943776,59754,45,329252864
"All.00,012 cells (Tiny), moore 1.tableParBoth",13635131,686488,64046,57,329252864
"All.00,012 cells (Tiny), moore 1.tableParBounded",6954574,414008,36850,35,329252864
"All.00,012 cells (Tiny), moore 1.tableParChunked",15505828,1016902,49736,72,329252864
"All.00,100 cells (Small10), moore 1.stencilFor (library)",58923144,3307262,546378,359,329252864
"All.00,100 cells (Small10), moore 1.tableSeq",59399194,3372334,547994,351,329252864
"All.00,100 cells (Small10), moore 1.tableSeqBounded",30365612,1660782,259321,165,329252864
"All.00,100 cells (Small10), moore 1.tableParWidth",54880395,3430202,448869,326,329252864
"All.00,100 cells (Small10), moore 1.tableParFill",52167358,3403780,458539,341,329252864
"All.00,100 cells (Small10), moore 1.tableParBoth",47143115,3374736,454443,353,329252864
"All.00,100 cells (Small10), moore 1.tableParBounded",25623706,1758228,265673,207,329252864
"All.00,100 cells (Small10), moore 1.tableParChunked",49660424,3726634,321344,1746,329252864
"All.00,400 cells (Small20), moore 1.stencilFor (library)",247034863,13338232,2283507,1450,329252864
"All.00,400 cells (Small20), moore 1.tableSeq",250094433,19076018,2289923,1470,329252864
"All.00,400 cells (Small20), moore 1.tableSeqBounded",128781103,6650118,1096925,678,329252864
"All.00,400 cells (Small20), moore 1.tableParWidth",193558593,15473414,1872587,1286,329252864
"All.00,400 cells (Small20), moore 1.tableParFill",182713183,15137568,1911012,1319,329252864
"All.00,400 cells (Small20), moore 1.tableParBoth",136374853,7821652,1878079,1519,329252864
"All.00,400 cells (Small20), moore 1.tableParBounded",75801928,5024164,1103256,861,329252864
"All.00,400 cells (Small20), moore 1.tableParChunked",157955273,14185492,1297541,25155,329252864
"All.01,024 cells (Small32), moore 1.stencilFor (library)",641022655,53541600,5941526,3688,329252864
"All.01,024 cells (Small32), moore 1.tableSeq",638508202,55643152,5957926,3757,329252864
"All.01,024 cells (Small32), moore 1.tableSeqBounded",328860351,27068650,2866607,1746,329252864
"All.01,024 cells (Small32), moore 1.tableParWidth",470590820,30392182,4877774,3312,329252864
"All.01,024 cells (Small32), moore 1.tableParFill",444359960,30260286,4976143,3325,329252864
"All.01,024 cells (Small32), moore 1.tableParBoth",316919726,26721884,4883308,3868,329252864
"All.01,024 cells (Small32), moore 1.tableParBounded",178430664,13184938,2872921,2315,329252864
"All.01,024 cells (Small32), moore 1.tableParChunked",418839453,33059740,3351763,166080,329252864
"All.02,500 cells (Step), moore 1.stencilFor (library)",1643574999,162107936,14646956,106432,329252864
"All.02,500 cells (Step), moore 1.tableSeq",1610884375,112131820,14686972,102509,329252864
"All.02,500 cells (Step), moore 1.tableSeqBounded",839584765,59096830,7084974,73928,329252864
"All.02,500 cells (Step), moore 1.tableParWidth",1179246093,69754836,12038035,71980,329252864
"All.02,500 cells (Step), moore 1.tableParFill",1098894140,88965808,12278115,8206,329252864
"All.02,500 cells (Step), moore 1.tableParBoth",812315233,60808822,12043558,10536,329252864
"All.02,500 cells (Step), moore 1.tableParBounded",432962694,34560350,7091281,5610,329252864
"All.02,500 cells (Step), moore 1.tableParChunked",1291357031,94671272,8238868,1309857,329252864
