Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), moore 1.stencilFor (library)",7150390,474672,64616,46,241172480
"All.00,012 cells (Tiny), moore 1.tableSeq",7272225,716022,64824,47,241172480
"All.00,012 cells (Tiny), moore 1.tableSeqBounded",3722238,233630,30536,22,241172480
"All.00,012 cells (Tiny), moore 1.tableParWidth",6818231,554116,55472,45,241172480
"All.00,012 cells (Tiny), moore 1.tableParFill",6981893,485536,56648,53,241172480
"All.00,012 cells (Tiny), moore 1.tableParBoth",7253262,602730,58216,31,241172480
"All.00,012 cells (Tiny), moore 1.tableParBounded",3911071,302640,33782,17,241172480
"All.00,012 cells (Tiny), moore 1.tableParChunked",4700518,429266,43176,61,241172480
"All.00,100 cells (Small10), moore 1.stencilFor (library)",57455053,5325072,546378,326,241172480
"All.00,100 cells (Small10), moore 1.tableSeq",57287182,3478132,547994,318,241172480
"All.00,100 cells (Small10), moore 1.tableSeqBounded",29736059,2448920,259321,150,241172480
"All.00,100 cells (Small10), moore 1.tableParWidth",52365209,3530104,445794,330,241172480
"All.00,100 cells (Small10), moore 1.tableParFill",53488623,4136178,455418,365,241172480
"All.00,100 cells (Small10), moore 1.tableParBoth",53093041,3613084,448538,443,241172480
"All.00,100 cells (Small10), moore 1.tableParBounded",29932446,1824010,262569,255,241172480
"All.00,100 cells (Small10), moore 1.tableParChunked",36573291,1896618,314766,1802,241172480
"All.00,400 cells (Small20), moore 1.stencilFor (library)",237661230,11917106,2283502,1310,241172480
"All.00,400 cells (Small20), moore 1.tableSeq",237183789,13957518,2289923,1331,241172480
"All.00,400 cells (Small20), moore 1.tableSeqBounded",123049121,6703398,1096925,622,241172480
"All.00,400 cells (Small20), moore 1.tableParWidth",219214746,14423948,1869484,1393,241172480
"All.00,400 cells (Small20), moore 1.tableParFill",221997167,14048796,1907907,1523,241172480
"All.00,400 cells (Small20), moore 1.tableParBoth",218616210,13684998,1872222,1871,241172480
"All.00,400 cells (Small20), moore 1.tableParBounded",124789013,7763348,1100169,1112,241172480
"All.00,400 cells (Small20), moore 1.tableParChunked",155454003,14719178,1290923,27181,241172480
"All.01,024 cells (Small32), moore 1.stencilFor (library)",612880468,54160010,5941526,3315,241172480
"All.01,024 cells (Small32), moore 1.tableSeq",611757421,58614678,5957929,3394,241172480
"All.01,024 cells (Small32), moore 1.tableSeqBounded",319864257,31907640,2866607,1573,241172480
"All.01,024 cells (Small32), moore 1.tableParWidth",563620312,35097532,4874679,3509,241172480
"All.01,024 cells (Small32), moore 1.tableParFill",569407226,32947064,4973012,5647,241172480
"All.01,024 cells (Small32), moore 1.tableParBoth",567970898,27053800,4877423,4701,241172480
"All.01,024 cells (Small32), moore 1.tableParBounded",318634961,29616544,2869856,2893,241172480
"All.01,024 cells (Small32), moore 1.tableParChunked",435861913,30592204,3345151,180783,241172480
"All.02,500 cells (Step), moore 1.stencilFor (library)",1571835936,108484234,14646956,103531,241172480
"All.02,500 cells (Step), moore 1.tableSeq",1566344531,108844104,14686972,99695,241172480
"All.02,500 cells (Step), moore 1.tableSeqBounded",827203515,66746630,7084974,72657,241172480
"All.02,500 cells (Step), moore 1.tableParWidth",1441156249,137885036,12035034,77249,241172480
"All.02,500 cells (Step), moore 1.tableParFill",1452553124,105109170,12275059,79673,241172480
