Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.90,000 cells (BigPeriodic), moore 1.tableParFill",37497499993,1918825872,450734288,563494,275775488
"All.90,000 cells (BigPeriodic), moore 1.tableParBoth",23727859375,2001141094,442103932,508349,275775488
"All.90,000 cells (BigPeriodic), moore 1.tableParBounded",13829237494,889703456,260653562,446927,275775488
"All.90,000 cells (BigPeriodic), moore 1.tableParChunked",60856949990,5330338758,300989465,119094343,275775488
"All.90,000 cells (Big), moore 3.stencilFor (library)",407278600088,27146760188,2252820551,2112593,275775488
"All.90,000 cells (Big), moore 3.tableSeq",404995399884,34975680418,2254257504,2129660,275775488
"All.90,000 cells (Big), moore 3.tableSeqBounded",205005600102,13674450308,1116412388,1164764,275775488
"All.90,000 cells (Big), moore 3.tableParWidth",248009699993,16750832204,1755651124,1407960,275775488
"All.90,000 cells (Big), moore 3.tableParFill",220643999999,14950350782,1764294424,1277917,275775488
"All.90,000 cells (Big), moore 3.tableParBoth",122341999999,7157653452,1755660118,1064170,275775488
"All.90,000 cells (Big), moore 3.tableParBounded",69845274956,3590342540,1116417526,807990,275775488
"All.90,000 cells (Big), moore 3.tableParChunked",357785799986,19467654480,1273597152,796677705,709885952
"All.64,000 cells (Mixed3), moore 1.stencilFor (library)",153675599974,14859566050,1280973629,1259740,709885952
"All.64,000 cells (Mixed3), moore 1.tableSeq",153441400012,13909684718,1281996907,1264288,709885952
"All.64,000 cells (Mixed3), moore 1.tableSeqBounded",80664299980,7574009566,632371206,806449,709885952
"All.64,000 cells (Mixed3), moore 1.tableParWidth",102070899993,7982538914,1085342943,968407,709885952
"All.64,000 cells (Mixed3), moore 1.tableParFill",91175999999,7251568594,1091488267,908072,709885952
"All.64,000 cells (Mixed3), moore 1.tableParBoth",60503906249,637628750,1085347548,757547,709885952
"All.64,000 cells (Mixed3), moore 1.tableParBounded",34862587494,2586907056,632377989,606739,709885952
"All.64,000 cells (Mixed3), moore 1.tableParChunked",148633275007,3689735698,699807085,285055468,709885952
"All.02,500 cells (Step), vonNeumann 2.stencilFor (library)",4238721874,235527826,22683903,146125,709885952
"All.02,500 cells (Step), vonNeumann 2.tableSeq",4232225001,420157186,22724105,145617,709885952
"All.02,500 cells (Step), vonNeumann 2.tableSeqBounded",2305026563,144551312,11564270,236647,709885952
"All.02,500 cells (Step), vonNeumann 2.tableParWidth",2810159375,217394720,18964315,149968,709885952
"All.02,500 cells (Step), vonNeumann 2.tableParFill",2563085939,218121446,19204484,12542,709885952
"All.02,500 cells (Step), vonNeumann 2.tableParBoth",1442762499,137091928,18975210,13481,709885952
"All.02,500 cells (Step), vonNeumann 2.tableParBounded",961066601,61193144,11588012,7873,709885952
"All.02,500 cells (Step), vonNeumann 2.tableParChunked",2827279687,130935756,12585499,2655385,709885952
"All.90,000 cells (Big), vonNeumann 2.stencilFor (library)",156045100031,14059501300,832706024,949703,709885952
"All.90,000 cells (Big), vonNeumann 2.tableSeq",156146899967,14629251134,834145981,960693,709885952
"All.90,000 cells (Big), vonNeumann 2.tableSeqBounded",84313949951,7762062984,425787689,677447,709885952
"All.90,000 cells (Big), vonNeumann 2.tableParWidth",102510099968,6739732418,698121910,780066,709885952
"All.90,000 cells (Big), vonNeumann 2.tableParFill",95183349990,7214897022,706762691,747487,709885952
"All.90,000 cells (Big), vonNeumann 2.tableParBoth",65159712499,4342919174,698127472,669389,709885952
"All.90,000 cells (Big), vonNeumann 2.tableParBounded",36013437491,2130693262,425805409,570709,709885952
"All.90,000 cells (Big), vonNeumann 2.tableParChunked",123160075008,5378973214,460581368,181472102,709885952
