Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny), moore 1.stencilFor (library)",8260192,440620,64616,74,251658240
"All.00,012 cells (Tiny), moore 1.tableSeq",8302539,450146,64824,75,251658240
"All.00,012 cells (Tiny), moore 1.tableSeqBounded",4124746,212414,30536,36,251658240
"All.00,012 cells (Tiny), moore 1.tableParWidth",32161230,2314078,70662,60,251658240
"All.00,012 cells (Tiny), moore 1.tableParFill",32598657,2027472,72057,21,251658240
"All.00,012 cells (Tiny), moore 1.tableParBoth",53794628,3437790,87134,50,251658240
"All.00,012 cells (Tiny), moore 1.tableParBounded",27977758,2174870,49048,31,251658240
"All.00,012 cells (Tiny), moore 1.tableParChunked",57697900,3465686,74630,36,251658240
"All.00,100 cells (Small10), moore 1.stencilFor (library)",65600976,4028524,546379,559,251658240
"All.00,100 cells (Small10), moore 1.tableSeq",66103295,3687874,547995,554,251658240
"All.00,100 cells (Small10), moore 1.tableSeqBounded",33481298,3292194,259323,259,251658240
"All.00,100 cells (Small10), moore 1.tableParWidth",77985107,7138384,467007,257,251658240
"All.00,100 cells (Small10), moore 1.tableParFill",74014746,6796860,476972,228,251658240
"All.00,100 cells (Small10), moore 1.tableParBoth",80831738,6929408,488956,215,251658240
"All.00,100 cells (Small10), moore 1.tableParBounded",43077270,3289956,283891,131,251658240
"All.00,100 cells (Small10), moore 1.tableParChunked",101324169,9769040,357821,605,251658240
"All.00,400 cells (Small20), moore 1.stencilFor (library)",277324121,16203630,2283509,2285,251658240
"All.00,400 cells (Small20), moore 1.tableSeq",276628906,27038078,2289938,2310,251658240
"All.00,400 cells (Small20), moore 1.tableSeqBounded",142032812,13321200,1096934,1075,251658240
"All.00,400 cells (Small20), moore 1.tableParWidth",220677929,13865804,1890737,1322,251658240
"All.00,400 cells (Small20), moore 1.tableParFill",197416113,13982848,1929503,1061,251658240
"All.00,400 cells (Small20), moore 1.tableParBoth",142652197,7936730,1912728,959,251658240
"All.00,400 cells (Small20), moore 1.tableParBounded",94840991,5961500,1121540,547,251658240
"All.00,400 cells (Small20), moore 1.tableParChunked",222764697,7488206,1336591,12010,251658240
