Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.02,500 cells (Step) axis1 unboxed  map.mapAxis (library)",2942616,210716,54448,153,82837504
"All.02,500 cells (Step) axis1 unboxed  map.mapSeq",2667993,221422,47640,126,82837504
"All.02,500 cells (Step) axis1 unboxed  map.mapPar",10506994,1001016,53078,32,82837504
"All.02,500 cells (Step) axis1 unboxed  map.mapParSpark",3501322,253228,48926,117,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanAxis (library)",2976402,272854,54448,153,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeq",2588598,232982,47640,125,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqMut",1501643,104620,20016,25,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqFreeze",1648376,102358,20016,25,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqFibre",2852915,255856,32880,25,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqStrip",1275581,115988,21480,25,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanParFibre",10712493,719992,45518,27,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanParStrip",9665789,818980,32280,44,82837504
"All.02,500 cells (Step) axis1 unboxed  scan.scanParSpark",3534587,242290,48929,116,82837504
"All.10,000 cells (Mid) axis0 boxed  map.mapAxis (library)",139538281,13868862,1206572,115789,82837504
"All.10,000 cells (Mid) axis0 boxed  map.mapSeq",140952294,7493010,1206557,115796,82837504
"All.10,000 cells (Mid) axis0 boxed  map.mapPar",203354882,13906856,1221470,37083,82837504
"All.10,000 cells (Mid) axis0 boxed  map.mapParSpark",133794970,8156406,1386395,23605,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanAxis (library)",47765380,3700212,238590,3101,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeq",48681762,3706762,238590,3101,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqMut",49085498,3662106,238590,3101,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqFreeze",48828466,3738206,238591,3100,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqFibre",52514697,3395700,238838,3151,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqStrip",57668261,3339798,242431,3155,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanParFibre",189382421,16834708,253721,109,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanParStrip",187594726,14047484,253625,109,82837504
"All.10,000 cells (Mid) axis0 boxed  scan.scanParSpark",86239331,3571812,430434,5594,82837504
"All.10,000 cells (Mid) axis0 unboxed  map.mapAxis (library)",18678979,1676558,243259,222,82837504
"All.10,000 cells (Mid) axis0 unboxed  map.mapSeq",18734826,1783558,243259,223,82837504
"All.10,000 cells (Mid) axis0 unboxed  map.mapPar",16728369,1644076,258118,106,82837504
"All.10,000 cells (Mid) axis0 unboxed  map.mapParSpark",24374291,1868174,350292,421,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanAxis (library)",8194631,454050,80096,98,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanSeq",8214181,492538,80096,97,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanSeqMut",8232836,505420,80096,97,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanSeqFreeze",8213467,512708,80096,97,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanSeqFibre",8686511,857194,80345,97,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanSeqStrip",9896722,913260,83937,97,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanParFibre",13947442,857822,95170,106,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanParStrip",13681561,1353296,95023,106,82837504
"All.10,000 cells (Mid) axis0 unboxed  scan.scanParSpark",18423266,1647134,267321,227,82837504
"All.10,000 cells (Mid) axis1 unboxed  map.mapAxis (library)",10543493,842974,188849,1257,82837504
"All.10,000 cells (Mid) axis1 unboxed  map.mapSeq",9677661,914652,175241,1122,82837504
"All.10,000 cells (Mid) axis1 unboxed  map.mapPar",14690783,844966,173887,103,82837504
"All.10,000 cells (Mid) axis1 unboxed  map.mapParSpark",12732678,833448,178217,428,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanAxis (library)",10455102,893062,188849,1256,82837504
"All.10,000 cells (Mid) axis1 unboxed  scan.scanSeq",9684686,869424,175241,1122,82837504
