Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny) axis0 boxed  map.mapAxis (library)",136464,13612,1768,2,65011712
"All.00,012 cells (Tiny) axis0 boxed  map.mapSeq",136887,8688,1768,2,65011712
"All.00,012 cells (Tiny) axis0 boxed  map.mapPar",494983,34034,5644,10,65011712
"All.00,012 cells (Tiny) axis0 boxed  map.mapParSpark",424940,32768,4808,6,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanAxis (library)",56304,4088,336,0,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeq",55805,3480,336,0,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqMut",56095,3346,336,0,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFreeze",56119,3388,336,0,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFibre",72444,6758,584,0,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqStrip",146715,13622,1440,1,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParFibre",392439,30120,4281,5,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParStrip",374667,17106,4220,8,65011712
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParSpark",340085,25698,3560,4,65011712
"All.00,400 cells (Small20) axis0 boxed  map.mapAxis (library)",3944538,297106,49352,271,65011712
"All.00,400 cells (Small20) axis0 boxed  map.mapSeq",3925308,370266,49352,271,65011712
"All.00,400 cells (Small20) axis0 boxed  map.mapPar",4673767,464846,53223,300,65011712
"All.00,400 cells (Small20) axis0 boxed  map.mapParSpark",5146261,436990,57928,228,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanAxis (library)",1778823,105428,9392,23,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeq",1756243,110158,9392,23,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqMut",1758907,162512,9392,33,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFreeze",1748222,125866,9392,23,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFibre",1940651,103712,9640,12,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqStrip",1985212,108258,10496,20,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanParFibre",2069750,206054,13336,56,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanParStrip",2222509,214660,13288,56,65011712
"All.00,400 cells (Small20) axis0 boxed  scan.scanParSpark",3672441,247114,21768,49,65011712
"All.01,024 cells (Small32) axis0 boxed  map.mapAxis (library)",10387286,923114,125001,1283,65011712
"All.01,024 cells (Small32) axis0 boxed  map.mapSeq",10372979,926472,125001,1283,65011712
"All.01,024 cells (Small32) axis0 boxed  map.mapPar",11137707,1080938,128883,1313,65011712
"All.01,024 cells (Small32) axis0 boxed  map.mapParSpark",13001098,959718,140393,950,65011712
"All.01,024 cells (Small32) axis0 boxed  scan.scanAxis (library)",4611236,412438,24176,60,65011712
