Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny) axis0 boxed  map.mapAxis (library)",144090,14000,1768,2,70254592
"All.00,012 cells (Tiny) axis0 boxed  map.mapSeq",143935,13128,1768,2,70254592
"All.00,012 cells (Tiny) axis0 boxed  map.mapPar",5577972,495212,9313,25,70254592
"All.00,012 cells (Tiny) axis0 boxed  map.mapParSpark",618339,53306,6878,10,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanAxis (library)",56953,3234,336,0,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeq",56329,3210,336,0,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqMut",56986,3422,336,0,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFreeze",56872,3276,336,0,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFibre",73749,6482,584,0,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqStrip",270998,14706,2352,3,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParFibre",5566741,431544,8001,14,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParStrip",5317552,433298,7921,20,70254592
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParSpark",541410,53604,5628,8,70254592
"All.00,400 cells (Small20) axis0 boxed  map.mapAxis (library)",4136566,209392,49352,274,70254592
"All.00,400 cells (Small20) axis0 boxed  map.mapSeq",4143432,409572,49352,274,70254592
"All.00,400 cells (Small20) axis0 boxed  map.mapPar",10084118,889594,56897,83,70254592
"All.00,400 cells (Small20) axis0 boxed  map.mapParSpark",5621481,419548,60444,208,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanAxis (library)",1838976,104454,9392,24,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeq",1832088,107902,9392,24,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqMut",1846837,109408,9392,24,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFreeze",1843952,112748,9392,24,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFibre",1979957,55068,9640,13,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqStrip",2131692,206478,11408,15,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanParFibre",7732598,472844,17056,45,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanParStrip",7658520,531420,16976,44,70254592
"All.00,400 cells (Small20) axis0 boxed  scan.scanParSpark",3994699,218284,23901,75,70254592
"All.01,024 cells (Small32) axis0 boxed  map.mapAxis (library)",10691864,822284,125001,1290,70254592
"All.01,024 cells (Small32) axis0 boxed  map.mapSeq",10729449,821574,125001,1290,70254592
"All.01,024 cells (Small32) axis0 boxed  map.mapPar",21108679,1763086,132548,585,70254592
"All.01,024 cells (Small32) axis0 boxed  map.mapParSpark",13582519,923142,144192,391,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanAxis (library)",4708087,436486,24176,48,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeq",4699542,414240,24176,48,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqMut",4655557,416792,24176,48,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqFreeze",4658734,430140,24176,47,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqFibre",4691549,415250,24424,66,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqStrip",5216152,428242,26192,45,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanParFibre",10979437,847478,31847,41,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanParStrip",11113024,824576,31761,47,70254592
"All.01,024 cells (Small32) axis0 boxed  scan.scanParSpark",9143829,851218,50970,156,70254592
"All.02,500 cells (Step) axis0 boxed  map.mapAxis (library)",28075695,1720832,303291,7351,70254592
"All.02,500 cells (Step) axis0 boxed  map.mapSeq",28015515,1776024,303291,7350,70254592
"All.02,500 cells (Step) axis0 boxed  map.mapPar",39311621,3602274,310878,3185,70254592
"All.02,500 cells (Step) axis0 boxed  map.mapParSpark",33211523,1884280,343632,3318,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanAxis (library)",12281726,911568,59329,200,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanSeq",12533843,839070,59329,200,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanSeqMut",12680230,901768,59329,200,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanSeqFreeze",12548718,894372,59329,200,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanSeqFibre",11755639,840790,59577,230,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanSeqStrip",13633496,842318,61345,223,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanParFibre",21354528,1708222,67019,274,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanParStrip",23259716,1892250,66917,122,70254592
"All.02,500 cells (Step) axis0 boxed  scan.scanParSpark",21973327,1765488,113527,495,70254592
"All.02,500 cells (Step) axis0 unboxed  map.mapAxis (library)",4475683,428214,61656,57,70254592
"All.02,500 cells (Step) axis0 unboxed  map.mapSeq",4493008,433702,61656,57,70254592
"All.02,500 cells (Step) axis0 unboxed  map.mapPar",9266448,868960,69202,85,70254592
"All.02,500 cells (Step) axis0 unboxed  map.mapParSpark",6618679,421008,94576,102,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanAxis (library)",1999005,105660,20096,23,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanSeq",1993994,106404,20096,23,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanSeqMut",1993807,109274,20096,23,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanSeqFreeze",1992850,103000,20096,23,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanSeqFibre",2133750,207822,20344,23,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanSeqStrip",2566171,205754,22112,23,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanParFibre",8002929,557378,27760,30,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanParStrip",8227539,457066,27680,26,70254592
"All.02,500 cells (Step) axis0 unboxed  scan.scanParSpark",5065789,417502,72964,53,70254592
"All.02,500 cells (Step) axis1 unboxed  map.mapAxis (library)",2823098,146404,54448,149,70254592
"All.02,500 cells (Step) axis1 unboxed  map.mapSeq",2515120,176834,47640,122,70254592
"All.02,500 cells (Step) axis1 unboxed  map.mapPar",8187170,485782,47081,29,70254592
"All.02,500 cells (Step) axis1 unboxed  map.mapParSpark",3380499,213738,48894,113,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanAxis (library)",2860021,223428,54448,149,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeq",2488903,204778,47640,122,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqMut",1466191,105300,20016,23,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqFreeze",1615785,112240,20016,23,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqFibre",2794345,226766,32880,23,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanSeqStrip",1204814,118504,20872,23,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanParFibre",8193484,439898,39328,25,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanParStrip",6355874,445794,26280,24,70254592
"All.02,500 cells (Step) axis1 unboxed  scan.scanParSpark",3387814,275830,48897,112,70254592
"All.10,000 cells (Mid) axis0 boxed  map.mapAxis (library)",136746191,7261980,1206556,115656,70254592
"All.10,000 cells (Mid) axis0 boxed  map.mapSeq",136887255,7952452,1206556,115654,70254592
"All.10,000 cells (Mid) axis0 boxed  map.mapPar",123272070,6780046,1214147,57284,70254592
"All.10,000 cells (Mid) axis0 boxed  map.mapParSpark",150178027,14349266,1413578,50535,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanAxis (library)",46283178,3287280,238590,3082,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeq",75631890,2049036,238585,3075,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqMut",76591308,4174066,238590,3081,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqFreeze",77101953,3500734,238590,3081,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqFibre",79257470,7688884,238844,3126,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanSeqStrip",88488330,7718582,240612,3149,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanParFibre",144618945,14208638,246298,1620,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanParStrip",143315527,8649696,246207,1735,70254592
"All.10,000 cells (Mid) axis0 boxed  scan.scanParSpark",135543310,7203020,429563,6240,70254592
"All.10,000 cells (Mid) axis0 unboxed  map.mapAxis (library)",27216296,1719740,243259,202,70254592
"All.10,000 cells (Mid) axis0 unboxed  map.mapSeq",27104406,1775916,243259,202,70254592
