Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
"All.00,012 cells (Tiny) axis0 boxed  map.mapAxis (library)",164986,13248,1768,3,104857600
"All.00,012 cells (Tiny) axis0 boxed  map.mapSeq",167100,13530,1768,3,104857600
"All.00,012 cells (Tiny) axis0 boxed  map.mapPar",12009826,859270,9392,15,104857600
"All.00,012 cells (Tiny) axis0 boxed  map.mapParSpark",713512,51480,6904,13,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanAxis (library)",61500,3366,336,0,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeq",61028,3268,336,0,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqMut",61483,3342,336,0,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFreeze",61329,3238,336,0,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqFibre",81334,6642,584,0,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanSeqStrip",301720,26484,2352,3,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParFibre",11596759,838006,8079,14,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParStrip",11588671,995230,7999,16,104857600
"All.00,012 cells (Tiny) axis0 boxed  scan.scanParSpark",629482,60588,5645,10,104857600
"All.00,400 cells (Small20) axis0 boxed  map.mapAxis (library)",4669287,415796,49352,293,104857600
"All.00,400 cells (Small20) axis0 boxed  map.mapSeq",4618487,449110,49352,292,104857600
"All.00,400 cells (Small20) axis0 boxed  map.mapPar",39403759,3338706,78796,102,104857600
"All.00,400 cells (Small20) axis0 boxed  map.mapParSpark",7659030,436826,73378,233,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanAxis (library)",1969503,116838,9392,28,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeq",1968395,108766,9392,28,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqMut",1966053,103644,9392,28,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFreeze",1969726,110496,9392,28,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqFibre",2122230,121124,9640,17,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanSeqStrip",3089482,215778,16880,46,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanParFibre",36344726,3286408,39243,36,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanParStrip",36452368,3411640,38967,46,104857600
"All.00,400 cells (Small20) axis0 boxed  scan.scanParSpark",5356066,304080,36458,121,104857600
"All.01,024 cells (Small32) axis0 boxed  map.mapAxis (library)",11921374,1159140,125001,1333,104857600
"All.01,024 cells (Small32) axis0 boxed  map.mapSeq",11994183,843956,125001,1333,104857600
"All.01,024 cells (Small32) axis0 boxed  map.mapPar",52721826,3493636,154454,253,104857600
"All.01,024 cells (Small32) axis0 boxed  map.mapParSpark",16400646,863254,157999,609,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanAxis (library)",4962033,492114,24176,53,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeq",4954664,292834,24176,53,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqMut",5220770,423888,24176,53,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqFreeze",5211791,429088,24176,53,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqFibre",4915017,420204,24424,83,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanSeqStrip",6303436,476652,31664,75,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanParFibre",46885083,3918468,54028,36,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanParStrip",45112036,3657412,53759,46,104857600
"All.01,024 cells (Small32) axis0 boxed  scan.scanParSpark",11191894,881378,63683,205,104857600
"All.02,500 cells (Step) axis0 boxed  map.mapAxis (library)",31644921,1987622,303291,7456,104857600
"All.02,500 cells (Step) axis0 boxed  map.mapSeq",31834265,1739338,303291,7456,104857600
"All.02,500 cells (Step) axis0 boxed  map.mapPar",115603027,4739088,332782,1269,104857600
"All.02,500 cells (Step) axis0 boxed  map.mapParSpark",36658117,2623612,361734,1751,104857600
